corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
00688880,삼공전기공업,"Samkong Electric Ind. Co.,Ltd. ",2842,20250514,20260401,감사보고서 (2025.12),20260401003161,
01918867,삼성정공,SAMSUNG JUNG GONG,25122,20250430,20260403,감사보고서 (2025.12),20260403003643,
01926219,성실엠와이,"SUNGSIL MOTIVATE YOURSELF CO., LTD.",29224,20250509,20260408,감사보고서 (2025.12),20260408003341,
01577989,디알모빌리티,"DR MOBILITY. CO., LTD.",30399,20260331,20260401,감사보고서 (2025.12),20260401003628,
01677580,하이엑시움모터스,"HyAxiom Motors Co., Ltd.",30121,20260213,,,,
01594603,현대아이티씨,HYUNDAI ITC,24111,20250813,20260401,감사보고서 (2025.12),20260401004050,
01918539,뉴런모터스,newrunmotors,30123,20250509,20260409,감사보고서 (2025.12),20260409001391,
01910838,타이거메탈,"TIGER METAL CO.,LTD",46492,20250509,20260407,감사보고서 (2025.12),20260407002890,
00613275,케이엠씨,"Korea motor cO.,Ltd",30,20260129,20260407,감사보고서 (2025.12),20260407001605,
01923443,씨앤케이폴리머,CNK Polymer,46733,20250508,20260413,감사보고서 (2025.12),20260413000817,
00668789,일신정밀,"ILSHIN PRECISION CO.,LTD",31114,20260303,20260409,감사보고서 (2025.12),20260409001149,
01479915,포스코모빌리티솔루션,POSCO MOBILITY SOLUTION,30331,20260303,20260326,감사보고서 (2025.12),20260326000118,
01311222,퍼시픽엑스코리아,Pacific X Auto Corporation,303,20260413,20260410,감사보고서 (2025.12),20260410000081,
01987344,이노그린메탈,"Inno Green Metal co., Ltd.",24219,20260212,,,,
01918104,넥스오토,nexauto co. ltd,30320,20250424,20260403,감사보고서 (2025.12),20260403002086,
02016120,에스엠모빌리티,"SM MOBILITY CO.,LTD.",30399,20260427,,,,
00356325,대지오토모티브,"Daeji Automotive Co.,Ltd.",30,20250925,20260324,감사보고서 (2025.12),20260324000228,
00521947,영진모빌리티,YOUNGJIN MOBILITY,30,20250925,20260407,감사보고서 (2025.12),20260407002588,
01915222,이쓰리모빌리티,"E3MOBILITY INC.,",31921,20250425,20260409,감사보고서 (2025.12),20260409000478,
01287147,현대엠아이비인터내셔널,"HYUNDAIMIB International CO.,LTD",33999,20260327,20260410,감사보고서 (2025.12),20260410001657,
02015653,대한전열공업,"Daehan Electric Heating Ind. Co., Ltd.",29150,20260506,,,,
02017776,신성중공업,SIN SUNG HEAVY INDUSTRY.CO.KR,29169,20260506,,,,
00817899,해동중공업,"HAEDONG HEAVY INDUSTRIES CO., LTD",291,20260219,20260406,감사보고서 (2025.12),20260406003873,
01909188,재영정밀,JAEYOUNG PRECISION,30310,20250424,20260402,감사보고서 (2025.12),20260402001832,
01926237,센서시스템기술,"Sensor system technology Co.,Ltd.",26129,20250508,20260413,감사보고서 (2025.12),20260413002702,
00532420,보성금속공업,Bosung,259,20260223,20260403,감사보고서 (2025.12),20260403002526,
